127.0.0.1 - - [27/Oct/2020:00:36:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:14 +0900] "GET /webapp/market/joinPage.jsp HTTP/1.1" 200 6894
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:14 +0900] "GET /webapp/market/img/nyamlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:22 +0900] "GET /webapp/el_jstl/ex2.jsp HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:28 +0900] "GET /webapp/el_jstl/ex3.jsp HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:47 +0900] "GET /webapp/market/newsPage.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:36:47 +0900] "GET /webapp/market/img/eventbanner2.png HTTP/1.1" 200 66603
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:03 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 9799
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:13 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 9799
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:13 +0900] "GET /webapp/market/img/favicon.ico HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:13 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 9799
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:13 +0900] "GET /webapp/market/img/favicon.ico HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:30 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 9799
0:0:0:0:0:0:0:1 - - [27/Oct/2020:00:37:30 +0900] "GET /webapp/market/img/favicon.ico HTTP/1.1" 200 528
