127.0.0.1 - - [22/Nov/2020:17:13:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/main/MainPage.jsp HTTP/1.1" 200 18737
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/keyart/EGS_FootballManager2021_SportsInteractive_S1-2560x1440.jpg HTTP/1.1" 200 943795
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/keyart/Cyber%20Punk_Key_Art_Portrait_976x549.png HTTP/1.1" 200 750336
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/keyart/AC%20keyart.jpg HTTP/1.1" 200 127418
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/icon/ogulogo.png HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/icon/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/icon/status.png HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/keyart/Carto%20keyart.png HTTP/1.1" 200 574797
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/portrait/GR_Portrait_Offer_1200x1600-1200x1600.jpg HTTP/1.1" 200 580015
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/profile/nuru.jpg HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:13:23 +0900] "GET /store/image/keyart/EGS_AirborneKingdom_TheWanderingBan_S1-2560x1440.jpg HTTP/1.1" 200 993877
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:15:55 +0900] "GET /store/main/MainPage.jsp HTTP/1.1" 200 18737
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:15:56 +0900] "GET /store/main/MainPage.jsp?kind=news HTTP/1.1" 200 12330
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:18:00 +0900] "GET /store/main/MainPage.jsp?kind=community HTTP/1.1" 200 12889
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:18:00 +0900] "GET /store/image/artwork/1605360211_20201114142114_1.jpg HTTP/1.1" 200 235558
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:18:00 +0900] "GET /store/image/icon/rate_bad.png HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:18:00 +0900] "GET /store/image/icon/rate_good.png HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:20:02 +0900] "GET /store/main/MainPage.jsp?kind=support HTTP/1.1" 200 11687
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/menu.png HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/profileB.png HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/nyamlogo.png HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/search.png HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/product/tm007.jpg HTTP/1.1" 200 76681
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/banner/topbanner2.png HTTP/1.1" 200 308941
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/product/tm004.jpg HTTP/1.1" 200 109023
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/listProduct.do?kind=0 HTTP/1.1" 200 28489
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/product/ft004.jpg HTTP/1.1" 200 71753
0:0:0:0:0:0:0:1 - - [22/Nov/2020:17:22:29 +0900] "GET /webapp/market/img/product/tm002.jpg HTTP/1.1" 200 32512
