127.0.0.1 - - [10/Dec/2020:00:08:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/main/MainPage.jsp HTTP/1.1" 200 15031
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/icon/ogulogo.png HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/icon/search.png HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/icon/status.png HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24739
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/portrait/RK-Portrait.png HTTP/1.1" 200 729366
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/portrait/CP%20Portrait.jpg HTTP/1.1" 200 58660
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:22 +0900] "GET /store/image/keyart/Carto%20keyart.png HTTP/1.1" 200 574797
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/keyart/Cyber%20Punk_Key_Art_Portrait_976x549.png HTTP/1.1" 200 750336
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/portrait/HK_Portrait_1440x2160.jpg HTTP/1.1" 200 342723
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/portrait/AC%20KINGDOM%20PREORDER_STANDARD%20EDITION_EPIC_Key_Art_Portrait_640x854.png HTTP/1.1" 200 981676
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/profile/EGS_Cartoisachar1200x1600.jpg HTTP/1.1" 200 935226
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/keyart/HK_KeyArt.jpg HTTP/1.1" 200 78876
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/keyart/AC%20keyart.jpg HTTP/1.1" 200 127418
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/keyart/EGS_RuinedKingALeagueofLegendsStory_AirshipSyndicate_S1-2560x1440.jpg HTTP/1.1" 200 761815
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:08:23 +0900] "GET /store/image/icon/favicon.ico HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "POST /store/main/gameDetail.go?gseq=4 HTTP/1.1" 200 29386
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/main/Carto%20main3.png HTTP/1.1" 200 2363559
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/profile/qr.png HTTP/1.1" 200 108342
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/main/Carto%20main4.png HTTP/1.1" 200 3686788
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/main/Carto%20main2.png HTTP/1.1" 200 3693570
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/main/Carto%20main5.png HTTP/1.1" 200 8314586
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/icon/rate_bad.png HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/icon/rate_good.png HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:06 +0900] "GET /store/image/profile/Carto%20main3.png HTTP/1.1" 200 2363559
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:28 +0900] "GET /store/main/community.go HTTP/1.1" 200 18061
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:28 +0900] "GET /store/image/artwork/qr%EC%BD%94%EB%93%9C.png HTTP/1.1" 200 199434
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:28 +0900] "GET /store/image/artwork/1605622906_FB_IMG_1600796322149.jpg HTTP/1.1" 200 92815
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:28 +0900] "GET /store/image/artwork/53d0b9a51be6599f1d7e6333fca9b2ae.jpg HTTP/1.1" 200 117534
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:29 +0900] "GET /store/main/support.go HTTP/1.1" 200 22796
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:29 +0900] "GET /store/image/icon/img_infodesk_inputgoods01.gif HTTP/1.1" 200 28670
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:31 +0900] "GET /store/main/news.go HTTP/1.1" 200 17791
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:31 +0900] "GET /store/image/keyart/ogu_keyart.png HTTP/1.1" 200 33970
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:47 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24739
0:0:0:0:0:0:0:1 - - [10/Dec/2020:00:09:54 +0900] "GET /store/main/search.go?searchContent=specialOfferGame HTTP/1.1" 200 18593
